time,location,water_level
2020/01/01/11,宜宾,1.23
2020/01/01/11,泸州(二郎滩),1.4
2020/01/01/11,北碚,0.92
2020/01/01/11,重庆,14.04
2020/01/01/11,寸滩,174.21
2020/01/01/11,涪陵(清溪场),174.17
2020/01/01/11,万州,174.39
2020/01/01/11,茅坪,174.08
2020/01/01/11,宜昌,0.56
2020/01/01/11,枝江,-0.11
2020/01/01/11,沙市,-1.79
2020/01/01/11,监利,2
2020/01/01/11,城陵矶,2.8
2020/01/01/11,汉口,1.7
2020/01/01/11,黄石,1.5
2020/01/01/11,九江,1.49
2020/01/01/11,安庆,1.76
2020/01/01/11,芜湖,1.38
2020/01/01/11,南京,1.16
2020/01/01/11,镇江,0.81
2020/01/01/11,湘江长沙,29.84
2020/01/02/11,宜宾,0.86
2020/01/02/11,泸州(二郎滩),1.36
2020/01/02/11,北碚,1.94
2020/01/02/11,重庆,13.98
2020/01/02/11,寸滩,174.11
2020/01/02/11,涪陵(清溪场),174.05
2020/01/02/11,万州,174.26
2020/01/02/11,茅坪,173.93
2020/01/02/11,宜昌,0.6
2020/01/02/11,枝江,-0.18
2020/01/02/11,沙市,-1.76
2020/01/02/11,监利,2.2
2020/01/02/11,城陵矶,2.85
2020/01/02/11,汉口,1.78
2020/01/02/11,黄石,1.47
2020/01/02/11,九江,1.46
2020/01/02/11,安庆,1.65
2020/01/02/11,芜湖,1.27
2020/01/02/11,南京,1.09
2020/01/02/11,镇江,0.76
2020/01/02/11,湘江长沙,29.88
2020/01/03/11,宜宾,0.84
2020/01/03/11,泸州(二郎滩),1
2020/01/03/11,北碚,0.99
2020/01/03/11,重庆,13.77
2020/01/03/11,寸滩,173.93
2020/01/03/11,涪陵(清溪场),173.88
2020/01/03/11,万州,174.08
2020/01/03/11,茅坪,173.75
2020/01/03/11,宜昌,0.7
2020/01/03/11,枝江,-0.05
2020/01/03/11,沙市,-1.59
2020/01/03/11,监利,2.24
2020/01/03/11,城陵矶,2.89
2020/01/03/11,汉口,1.71
2020/01/03/11,黄石,1.46
2020/01/03/11,九江,1.43
2020/01/03/11,安庆,1.6
2020/01/03/11,芜湖,1.27
2020/01/03/11,南京,1.16
2020/01/03/11,镇江,0.81
2020/01/03/11,湘江长沙,29.91
2020/01/04/11,宜宾,0.84
2020/01/04/11,泸州(二郎滩),0.95
2020/01/04/11,北碚,-0.06
2020/01/04/11,重庆,13.49
2020/01/04/11,寸滩,173.65
2020/01/04/11,涪陵(清溪场),173.66
2020/01/04/11,万州,173.88
2020/01/04/11,茅坪,173.58
2020/01/04/11,宜昌,0.65
2020/01/04/11,枝江,-0.05
2020/01/04/11,沙市,-1.53
2020/01/04/11,监利,2.33
2020/01/04/11,城陵矶,2.95
2020/01/04/11,汉口,1.73
2020/01/04/11,黄石,1.47
2020/01/04/11,九江,1.42
2020/01/04/11,安庆,1.56
2020/01/04/11,芜湖,1.19
2020/01/04/11,南京,1.13
2020/01/04/11,镇江,0.79
2020/01/04/11,湘江长沙,29.97
2020/01/05/11,宜宾,1
2020/01/05/11,泸州(二郎滩),0.7
2020/01/05/11,北碚,0.97
2020/01/05/11,重庆,13.29
2020/01/05/11,寸滩,173.44
2020/01/05/11,涪陵(清溪场),173.43
2020/01/05/11,万州,173.64
2020/01/05/11,茅坪,173.34
2020/01/05/11,宜昌,0.62
2020/01/05/11,枝江,-0.09
2020/01/05/11,沙市,-1.64
2020/01/05/11,监利,2.35
2020/01/05/11,城陵矶,3.03
2020/01/05/11,汉口,1.8
2020/01/05/11,黄石,1.49
2020/01/05/11,九江,1.41
2020/01/05/11,安庆,1.51
2020/01/05/11,芜湖,1.18
2020/01/05/11,南京,1.19
2020/01/05/11,镇江,0.87
2020/01/05/11,湘江长沙,30.06
2020/01/06/11,宜宾,0.93
2020/01/06/11,泸州(二郎滩),1.1
2020/01/06/11,北碚,0.91
2020/01/06/11,重庆,13.07
2020/01/06/11,寸滩,173.21
2020/01/06/11,涪陵(清溪场),173.2
2020/01/06/11,万州,173.42
2020/01/06/11,茅坪,173.16
2020/01/06/11,宜昌,0.78
2020/01/06/11,枝江,-0.19
2020/01/06/11,沙市,-1.77
2020/01/06/11,监利,2.31
2020/01/06/11,城陵矶,3.07
2020/01/06/11,汉口,1.86
2020/01/06/11,黄石,1.52
2020/01/06/11,九江,1.44
2020/01/06/11,安庆,1.54
2020/01/06/11,芜湖,1.3
2020/01/06/11,南京,1.38
2020/01/06/11,镇江,1.11
2020/01/06/11,湘江长沙,30.07
2020/01/07/11,宜宾,0.98
2020/01/07/11,泸州(二郎滩),0.8
2020/01/07/11,北碚,0.73
2020/01/07/11,重庆,12.86
2020/01/07/11,寸滩,172.99
2020/01/07/11,涪陵(清溪场),172.97
2020/01/07/11,万州,173.2
2020/01/07/11,茅坪,172.94
2020/01/07/11,宜昌,1.1
2020/01/07/11,枝江,0.3
2020/01/07/11,沙市,-1.44
2020/01/07/11,监利,2.27
2020/01/07/11,城陵矶,3.09
2020/01/07/11,汉口,1.91
2020/01/07/11,黄石,1.55
2020/01/07/11,九江,1.47
2020/01/07/11,安庆,1.57
2020/01/07/11,芜湖,1.27
2020/01/07/11,南京,1.44
2020/01/07/11,镇江,1.2
2020/01/07/11,湘江长沙,30.08
2020/01/08/11,宜宾,1.34
2020/01/08/11,泸州(二郎滩),1.4
2020/01/08/11,北碚,0.5
2020/01/08/11,重庆,12.69
2020/01/08/11,寸滩,172.83
2020/01/08/11,涪陵(清溪场),172.82
2020/01/08/11,万州,173.01
2020/01/08/11,茅坪,172.71
2020/01/08/11,宜昌,1.08
2020/01/08/11,枝江,0.34
2020/01/08/11,沙市,-1.18
2020/01/08/11,监利,2.43
2020/01/08/11,城陵矶,3.17
2020/01/08/11,汉口,1.96
2020/01/08/11,黄石,1.57
2020/01/08/11,九江,1.48
2020/01/08/11,安庆,1.59
2020/01/08/11,芜湖,0.92
2020/01/08/11,南京,1.2
2020/01/08/11,镇江,0.99
2020/01/08/11,湘江长沙,29.99
2020/01/09/11,宜宾,1.11
2020/01/09/11,泸州(二郎滩),1.6
2020/01/09/11,北碚,-0.2
2020/01/09/11,重庆,12.54
2020/01/09/11,寸滩,172.7
2020/01/09/11,涪陵(清溪场),172.66
2020/01/09/11,万州,172.87
2020/01/09/11,茅坪,172.52
2020/01/09/11,宜昌,1.13
2020/01/09/11,枝江,0.35
2020/01/09/11,沙市,-1.1
2020/01/09/11,监利,2.46
2020/01/09/11,城陵矶,3.29
2020/01/09/11,汉口,2.05
2020/01/09/11,黄石,1.66
2020/01/09/11,九江,1.53
2020/01/09/11,安庆,1.57
2020/01/09/11,芜湖,1.07
2020/01/09/11,南京,1.82
2020/01/09/11,镇江,1.5
2020/01/09/11,湘江长沙,29.95
2020/01/10/11,宜宾,0.9
2020/01/10/11,泸州(二郎滩),1.3
2020/01/10/11,北碚,-0.23
2020/01/10/11,重庆,12.45
2020/01/10/11,寸滩,172.59
2020/01/10/11,涪陵(清溪场),172.53
2020/01/10/11,万州,172.74
2020/01/10/11,茅坪,172.41
2020/01/10/11,宜昌,1.28
2020/01/10/11,枝江,0.45
2020/01/10/11,沙市,-1.05
2020/01/10/11,监利,2.52
2020/01/10/11,城陵矶,3.4
2020/01/10/11,汉口,2.19
2020/01/10/11,黄石,1.75
2020/01/10/11,九江,1.62
2020/01/10/11,安庆,1.69
2020/01/10/11,芜湖,1.05
2020/01/10/11,南京,1.86
2020/01/10/11,镇江,1.82
2020/01/10/11,湘江长沙,29.99
2020/01/11/11,宜宾,0.99
2020/01/11/11,泸州(二郎滩),1.55
2020/01/11/11,北碚,-0.26
2020/01/11/11,重庆,12.27
2020/01/11/11,寸滩,172.41
2020/01/11/11,涪陵(清溪场),172.39
2020/01/11/11,万州,172.61
2020/01/11/11,茅坪,172.35
2020/01/11/11,宜昌,1.11
2020/01/11/11,枝江,0.31
2020/01/11/11,沙市,-1.04
2020/01/11/11,监利,2.55
2020/01/11/11,城陵矶,3.49
2020/01/11/11,汉口,2.33
2020/01/11/11,黄石,1.86
2020/01/11/11,九江,1.73
2020/01/11/11,安庆,1.9
2020/01/11/11,芜湖,1.37
2020/01/11/11,南京,2.2
2020/01/11/11,镇江,2.4
2020/01/11/11,湘江长沙,30.18
2020/01/12/11,宜宾,1.28
2020/01/12/11,泸州(二郎滩),1
2020/01/12/11,北碚,-0.31
2020/01/12/11,重庆,12.12
2020/01/12/11,寸滩,172.3
2020/01/12/11,涪陵(清溪场),172.23
2020/01/12/11,万州,172.41
2020/01/12/11,茅坪,172.09
2020/01/12/11,宜昌,1.16
2020/01/12/11,枝江,0.35
2020/01/12/11,沙市,-1.11
2020/01/12/11,监利,2.56
2020/01/12/11,城陵矶,3.59
2020/01/12/11,汉口,2.5
2020/01/12/11,黄石,2.03
2020/01/12/11,九江,1.85
2020/01/12/11,安庆,2.04
2020/01/12/11,芜湖,1.48
2020/01/12/11,南京,1.82
2020/01/12/11,镇江,2.37
2020/01/12/11,湘江长沙,30.45
2020/01/13/11,宜宾,0.94
2020/01/13/11,泸州(二郎滩),1.2
2020/01/13/11,北碚,-0.11
2020/01/13/11,重庆,11.9
2020/01/13/11,寸滩,172.04
2020/01/13/11,涪陵(清溪场),172.02
2020/01/13/11,万州,172.25
2020/01/13/11,茅坪,171.9
2020/01/13/11,宜昌,1.21
2020/01/13/11,枝江,0.42
2020/01/13/11,沙市,-1.05
2020/01/13/11,监利,2.6
2020/01/13/11,城陵矶,3.7
2020/01/13/11,汉口,2.63
2020/01/13/11,黄石,2.18
2020/01/13/11,九江,1.96
2020/01/13/11,安庆,2.1
2020/01/13/11,芜湖,1.53
2020/01/13/11,南京,1.46
2020/01/13/11,镇江,2.34
2020/01/13/11,湘江长沙,30.57
2020/01/14/11,宜宾,0.78
2020/01/14/11,泸州(二郎滩),1.06
2020/01/14/11,北碚,-0.27
2020/01/14/11,重庆,11.74
2020/01/14/11,寸滩,171.86
2020/01/14/11,涪陵(清溪场),171.81
2020/01/14/11,万州,172.03
2020/01/14/11,茅坪,171.68
2020/01/14/11,宜昌,1.03
2020/01/14/11,枝江,0.31
2020/01/14/11,沙市,-1.15
2020/01/14/11,监利,2.61
2020/01/14/11,城陵矶,3.8
2020/01/14/11,汉口,2.76
2020/01/14/11,黄石,2.3
2020/01/14/11,九江,2.09
2020/01/14/11,安庆,2.19
2020/01/14/11,芜湖,1.67
2020/01/14/11,南京,1.28
2020/01/14/11,镇江,2.04
2020/01/14/11,湘江长沙,30.62
2020/01/15/11,宜宾,0.51
2020/01/15/11,泸州(二郎滩),1.1
2020/01/15/11,北碚,0.98
2020/01/15/11,重庆,11.56
2020/01/15/11,寸滩,171.68
2020/01/15/11,涪陵(清溪场),171.6
2020/01/15/11,万州,171.79
2020/01/15/11,茅坪,171.43
2020/01/15/11,宜昌,1.11
2020/01/15/11,枝江,0.25
2020/01/15/11,沙市,-1.23
2020/01/15/11,监利,2.6
2020/01/15/11,城陵矶,3.89
2020/01/15/11,汉口,2.87
2020/01/15/11,黄石,2.52
2020/01/15/11,九江,2.24
2020/01/15/11,安庆,2.25
2020/01/15/11,芜湖,1.71
2020/01/15/11,南京,1.34
2020/01/15/11,镇江,1.72
2020/01/15/11,湘江长沙,30.74
2020/01/16/11,宜宾,1.06
2020/01/16/11,泸州(二郎滩),1.5
2020/01/16/11,北碚,-0.28
2020/01/16/11,重庆,11.28
2020/01/16/11,寸滩,171.43
2020/01/16/11,涪陵(清溪场),171.38
2020/01/16/11,万州,171.58
2020/01/16/11,茅坪,171.28
2020/01/16/11,宜昌,1.22
2020/01/16/11,枝江,0.42
2020/01/16/11,沙市,-1.09
2020/01/16/11,监利,2.64
2020/01/16/11,城陵矶,3.92
2020/01/16/11,汉口,2.94
2020/01/16/11,黄石,2.63
2020/01/16/11,九江,2.33
2020/01/16/11,安庆,2.39
2020/01/16/11,芜湖,1.91
2020/01/16/11,南京,1.55
2020/01/16/11,镇江,1.21
2020/01/16/11,湘江长沙,31.12
2020/01/17/11,宜宾,1
2020/01/17/11,泸州(二郎滩),1.33
2020/01/17/11,北碚,0.78
2020/01/17/11,重庆,11.14
2020/01/17/11,寸滩,171.29
2020/01/17/11,涪陵(清溪场),171.18
2020/01/17/11,万州,171.37
2020/01/17/11,茅坪,171.11
2020/01/17/11,宜昌,1.06
2020/01/17/11,枝江,0.4
2020/01/17/11,沙市,-1.13
2020/01/17/11,监利,2.69
2020/01/17/11,城陵矶,4.04
2020/01/17/11,汉口,3
2020/01/17/11,黄石,2.68
2020/01/17/11,九江,2.39
2020/01/17/11,安庆,2.46
2020/01/17/11,芜湖,1.91
2020/01/17/11,南京,1.59
2020/01/17/11,镇江,1.1
2020/01/17/11,湘江长沙,31.44
2020/01/18/11,宜宾,1.48
2020/01/18/11,泸州(二郎滩),1.2
2020/01/18/11,北碚,-0.27
2020/01/18/11,重庆,10.9
2020/01/18/11,寸滩,171.06
2020/01/18/11,涪陵(清溪场),170.98
2020/01/18/11,万州,171.16
2020/01/18/11,茅坪,170.84
2020/01/18/11,宜昌,1.11
2020/01/18/11,枝江,0.43
2020/01/18/11,沙市,-1.07
2020/01/18/11,监利,2.73
2020/01/18/11,城陵矶,4.19
2020/01/18/11,汉口,3.04
2020/01/18/11,黄石,2.76
2020/01/18/11,九江,2.44
2020/01/18/11,安庆,2.42
2020/01/18/11,芜湖,1.8
2020/01/18/11,南京,1.5
2020/01/18/11,镇江,1.02
2020/01/18/11,湘江长沙,31.24
2020/01/19/11,宜宾,0.54
2020/01/19/11,泸州(二郎滩),1.2
2020/01/19/11,北碚,-0.23
2020/01/19/11,重庆,10.6
2020/01/19/11,寸滩,170.75
2020/01/19/11,涪陵(清溪场),170.69
2020/01/19/11,万州,170.86
2020/01/19/11,茅坪,170.63
2020/01/19/11,宜昌,1.08
2020/01/19/11,枝江,0.43
2020/01/19/11,沙市,-1.04
2020/01/19/11,监利,2.83
2020/01/19/11,城陵矶,4.3
2020/01/19/11,汉口,3.18
2020/01/19/11,黄石,2.84
2020/01/19/11,九江,2.48
2020/01/19/11,安庆,2.39
2020/01/19/11,芜湖,1.73
2020/01/19/11,南京,1.51
2020/01/19/11,镇江,1.05
2020/01/19/11,湘江长沙,31.04
2020/01/20/11,宜宾,0.65
2020/01/20/11,泸州(二郎滩),0.9
2020/01/20/11,北碚,-0.29
2020/01/20/11,重庆,10.42
2020/01/20/11,寸滩,170.54
2020/01/20/11,涪陵(清溪场),170.44
2020/01/20/11,万州,170.64
2020/01/20/11,茅坪,170.43
2020/01/20/11,宜昌,0.92
2020/01/20/11,枝江,0.37
2020/01/20/11,沙市,-1.07
2020/01/20/11,监利,2.87
2020/01/20/11,城陵矶,4.31
2020/01/20/11,汉口,3.25
2020/01/20/11,黄石,2.88
2020/01/20/11,九江,2.58
2020/01/20/11,安庆,2.4
2020/01/20/11,芜湖,1.67
2020/01/20/11,南京,1.5
2020/01/20/11,镇江,1.1
2020/01/20/11,湘江长沙,30.92
2020/01/21/11,宜宾,0.98
2020/01/21/11,泸州(二郎滩),0.6
2020/01/21/11,北碚,-0.21
2020/01/21/11,重庆,10.2
2020/01/21/11,寸滩,170.34
2020/01/21/11,涪陵(清溪场),170.26
2020/01/21/11,万州,170.3
